STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Total Crime,Region
UTTAR PRADESH,RAIBAREILLY,2006,21,35,23,40,28,170,0,317,NOTHERN REGION
UTTAR PRADESH,RAMPUR,2006,11,37,13,32,4,4,0,101,NOTHERN REGION
UTTAR PRADESH,SAHARANPUR,2006,15,29,16,42,48,175,0,325,NOTHERN REGION
UTTAR PRADESH,SANT KABIRNAGAR,2006,4,18,7,7,23,25,0,84,NOTHERN REGION
UTTAR PRADESH,SHAHJAHANPUR,2006,21,37,34,21,25,8,0,146,NOTHERN REGION
UTTAR PRADESH,SHRAWASTI,2006,6,16,16,12,10,0,0,60,NOTHERN REGION
UTTAR PRADESH,SIDHARTHNAGAR,2006,4,28,15,12,58,19,0,136,NOTHERN REGION
UTTAR PRADESH,SITAPUR,2006,47,68,58,68,34,83,0,358,NOTHERN REGION
UTTAR PRADESH,SONBHADRA,2006,8,3,10,14,32,9,0,76,NOTHERN REGION
UTTAR PRADESH,ST.RAVIDASNAGAR,2006,2,4,9,6,14,19,0,54,NOTHERN REGION
UTTAR PRADESH,SULTANPUR,2006,25,26,23,21,23,55,0,173,NOTHERN REGION
UTTAR PRADESH,UNNAO,2006,37,40,37,35,26,58,0,233,NOTHERN REGION
UTTAR PRADESH,VARANASI,2006,16,36,23,10,46,90,0,221,NOTHERN REGION
UTTAR PRADESH,AGRA,2007,30,149,78,82,107,380,0,826,NOTHERN REGION
UTTAR PRADESH,ALIGARH,2007,50,96,70,74,37,237,0,564,NOTHERN REGION
UTTAR PRADESH,ALLAHABAD,2007,26,81,63,40,48,207,0,465,NOTHERN REGION
UTTAR PRADESH,AMBEDKAR NAGAR,2007,15,24,8,10,17,139,0,213,NOTHERN REGION
UTTAR PRADESH,AURAIYA,2007,9,26,34,17,10,29,0,125,NOTHERN REGION
UTTAR PRADESH,AZAMGARH,2007,11,29,29,15,26,55,0,165,NOTHERN REGION
UTTAR PRADESH,BADAUN,2007,11,40,31,29,18,25,0,154,NOTHERN REGION
UTTAR PRADESH,BAGHPAT,2007,17,27,22,10,22,60,0,158,NOTHERN REGION
UTTAR PRADESH,BAHRAICH,2007,34,44,28,20,25,37,0,188,NOTHERN REGION
UTTAR PRADESH,BALLIA,2007,10,18,13,10,10,11,0,72,NOTHERN REGION
UTTAR PRADESH,BALRAMPUR,2007,10,17,10,12,4,38,0,91,NOTHERN REGION
UTTAR PRADESH,BANDA,2007,15,12,16,49,14,14,0,120,NOTHERN REGION
UTTAR PRADESH,BARABANKI,2007,25,63,35,28,34,106,0,291,NOTHERN REGION
UTTAR PRADESH,BAREILLY,2007,62,95,54,97,99,235,0,642,NOTHERN REGION
UTTAR PRADESH,BASTI,2007,10,22,13,8,39,51,0,143,NOTHERN REGION
UTTAR PRADESH,BIJNOR,2007,27,48,26,33,75,188,0,397,NOTHERN REGION
UTTAR PRADESH,BULANDSHAHAR,2007,44,93,36,75,120,227,0,595,NOTHERN REGION
UTTAR PRADESH,CHANDOLI,2007,6,12,22,8,34,63,0,145,NOTHERN REGION
UTTAR PRADESH,CHITRAKOOT DHAM,2007,23,2,7,14,1,13,0,60,NOTHERN REGION
UTTAR PRADESH,DEORIA,2007,2,17,25,8,3,25,0,80,NOTHERN REGION
UTTAR PRADESH,ETAH,2007,39,66,56,48,22,77,0,308,NOTHERN REGION
UTTAR PRADESH,ETAWAH,2007,14,54,28,31,37,115,0,279,NOTHERN REGION
UTTAR PRADESH,FAIZABAD,2007,23,32,17,23,37,54,0,186,NOTHERN REGION
UTTAR PRADESH,FATEHGARH,2007,21,41,24,32,16,79,0,213,NOTHERN REGION
UTTAR PRADESH,FATEHPUR,2007,22,38,33,29,21,61,0,204,NOTHERN REGION
UTTAR PRADESH,FIROZABAD,2007,28,69,56,58,51,155,0,417,NOTHERN REGION
UTTAR PRADESH,G.R.P.,2007,2,3,2,12,23,0,0,42,NOTHERN REGION
UTTAR PRADESH,GAUTAMBUDH NAGAR,2007,17,64,14,41,51,73,0,260,NOTHERN REGION
UTTAR PRADESH,GHAZIABAD,2007,33,108,37,30,85,204,0,497,NOTHERN REGION
UTTAR PRADESH,GHAZIPUR,2007,10,10,22,11,23,68,0,144,NOTHERN REGION
UTTAR PRADESH,GONDA,2007,13,33,35,18,9,10,0,118,NOTHERN REGION
UTTAR PRADESH,GORAKHPUR,2007,19,51,23,22,76,83,0,274,NOTHERN REGION
UTTAR PRADESH,HAMIRPUR,2007,8,7,9,16,5,5,0,50,NOTHERN REGION
UTTAR PRADESH,HARDOI,2007,33,38,42,45,26,57,0,241,NOTHERN REGION
UTTAR PRADESH,HATHRAS,2007,16,50,17,48,26,179,0,336,NOTHERN REGION
UTTAR PRADESH,J.P.NAGAR,2007,28,34,12,34,34,85,0,227,NOTHERN REGION
UTTAR PRADESH,JALAUN,2007,8,19,32,42,37,43,0,181,NOTHERN REGION
UTTAR PRADESH,JAUNPUR,2007,24,33,47,28,44,71,0,247,NOTHERN REGION
UTTAR PRADESH,JHANSI,2007,10,13,28,38,55,20,0,164,NOTHERN REGION
UTTAR PRADESH,KANNAUJ,2007,6,26,13,32,9,108,0,194,NOTHERN REGION
UTTAR PRADESH,KANPUR DEHAT,2007,13,52,37,51,17,114,0,284,NOTHERN REGION
UTTAR PRADESH,KANPUR NAGAR,2007,46,222,59,102,165,673,0,1267,NOTHERN REGION
UTTAR PRADESH,KAUSHAMBI,2007,30,36,35,27,16,72,0,216,NOTHERN REGION
UTTAR PRADESH,KHIRI,2007,47,72,57,48,25,67,0,316,NOTHERN REGION
