STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Total Crime,Region
ANDHRA PRADESH,TIRUPATHI URBAN,2010,10,15,5,38,25,85,0,178,SOUTH CENTRAL REGION
ANDHRA PRADESH,VIJAYAWADA CITY,2010,25,65,17,172,219,626,0,1124,SOUTH CENTRAL REGION
ANDHRA PRADESH,VIJAYAWADA RLY.,2010,1,0,3,6,0,4,0,14,SOUTH CENTRAL REGION
ANDHRA PRADESH,VISAKHA RURAL,2010,42,12,8,92,52,222,0,428,SOUTH CENTRAL REGION
ANDHRA PRADESH,VISAKHAPATNAM,2010,53,24,11,59,52,393,0,592,SOUTH CENTRAL REGION
ANDHRA PRADESH,VIZIANAGARAM,2010,32,15,14,101,85,312,0,559,SOUTH CENTRAL REGION
ANDHRA PRADESH,WARANGAL,2010,28,39,7,98,10,50,0,232,SOUTH CENTRAL REGION
ANDHRA PRADESH,WARANGAL URBAN,2010,17,28,12,50,25,412,0,544,SOUTH CENTRAL REGION
ANDHRA PRADESH,WEST GODAVARI,2010,127,122,26,400,231,732,0,1638,SOUTH CENTRAL REGION
ANDHRA PRADESH,ADILABAD,2011,84,70,20,112,142,429,0,857,SOUTH CENTRAL REGION
ANDHRA PRADESH,ANANTAPUR,2011,16,83,36,156,16,198,0,505,SOUTH CENTRAL REGION
ANDHRA PRADESH,CHITTOOR,2011,17,47,25,124,168,421,0,802,SOUTH CENTRAL REGION
ANDHRA PRADESH,CUDDAPAH,2011,41,65,15,144,17,122,0,404,SOUTH CENTRAL REGION
ANDHRA PRADESH,CYBERABAD,2011,89,90,51,158,234,1411,0,2033,SOUTH CENTRAL REGION
ANDHRA PRADESH,EAST GODAVARI,2011,72,51,17,176,224,575,0,1115,SOUTH CENTRAL REGION
ANDHRA PRADESH,GUNTAKAL RLY.,2011,0,0,0,0,3,1,0,4,SOUTH CENTRAL REGION
ANDHRA PRADESH,GUNTUR,2011,40,57,8,223,140,494,0,962,SOUTH CENTRAL REGION
ANDHRA PRADESH,GUNTUR URBAN,2011,33,28,6,86,111,395,0,659,SOUTH CENTRAL REGION
ANDHRA PRADESH,HYDERABAD CITY,2011,59,39,37,157,93,1355,0,1740,SOUTH CENTRAL REGION
ANDHRA PRADESH,KARIMNAGAR,2011,58,120,40,253,235,702,0,1408,SOUTH CENTRAL REGION
ANDHRA PRADESH,KHAMMAM,2011,84,73,20,243,140,519,0,1079,SOUTH CENTRAL REGION
ANDHRA PRADESH,KRISHNA,2011,80,75,15,348,292,733,0,1543,SOUTH CENTRAL REGION
ANDHRA PRADESH,KURNOOL,2011,39,58,20,340,222,424,0,1103,SOUTH CENTRAL REGION
ANDHRA PRADESH,MAHABOOBNAGAR,2011,88,69,28,162,66,259,0,672,SOUTH CENTRAL REGION
ANDHRA PRADESH,MEDAK,2011,38,33,26,121,50,384,0,652,SOUTH CENTRAL REGION
ANDHRA PRADESH,NALGONDA,2011,48,51,36,229,150,255,0,769,SOUTH CENTRAL REGION
ANDHRA PRADESH,NELLORE,2011,28,81,7,166,119,187,0,588,SOUTH CENTRAL REGION
ANDHRA PRADESH,NIZAMABAD,2011,63,51,27,98,100,569,0,908,SOUTH CENTRAL REGION
ANDHRA PRADESH,PRAKASHAM,2011,24,81,11,243,56,266,0,681,SOUTH CENTRAL REGION
ANDHRA PRADESH,RAJAHMUNDRY,2011,15,28,3,44,34,189,0,313,SOUTH CENTRAL REGION
ANDHRA PRADESH,RANGA REDDY,2011,24,20,15,50,2,89,0,200,SOUTH CENTRAL REGION
ANDHRA PRADESH,SECUNDERABAD RLY.,2011,0,1,1,5,1,2,0,10,SOUTH CENTRAL REGION
ANDHRA PRADESH,SRIKAKULAM,2011,29,23,8,91,83,333,0,567,SOUTH CENTRAL REGION
ANDHRA PRADESH,TIRUPATHI URBAN,2011,10,1,5,40,7,112,0,175,SOUTH CENTRAL REGION
ANDHRA PRADESH,VIJAYAWADA CITY,2011,37,50,17,248,355,1066,0,1773,SOUTH CENTRAL REGION
ANDHRA PRADESH,VIJAYAWADA RLY.,2011,1,2,1,3,2,1,0,10,SOUTH CENTRAL REGION
ANDHRA PRADESH,VISAKHA RURAL,2011,38,30,8,120,128,203,0,527,SOUTH CENTRAL REGION
ANDHRA PRADESH,VISAKHAPATNAM,2011,57,48,12,31,50,386,0,584,SOUTH CENTRAL REGION
ANDHRA PRADESH,VIZIANAGARAM,2011,50,20,5,79,99,384,0,637,SOUTH CENTRAL REGION
ANDHRA PRADESH,WARANGAL,2011,48,62,26,157,27,89,0,409,SOUTH CENTRAL REGION
ANDHRA PRADESH,WARANGAL URBAN,2011,35,15,26,78,54,63,0,271,SOUTH CENTRAL REGION
ANDHRA PRADESH,WEST GODAVARI,2011,97,90,27,364,238,760,0,1576,SOUTH CENTRAL REGION
ANDHRA PRADESH,ADILABAD,2012,88,61,7,90,155,498,0,899,SOUTH CENTRAL REGION
ANDHRA PRADESH,ANANTAPUR,2012,18,63,19,195,8,130,0,433,SOUTH CENTRAL REGION
ANDHRA PRADESH,CHITTOOR,2012,28,49,33,90,269,339,0,808,SOUTH CENTRAL REGION
ANDHRA PRADESH,CUDDAPAH,2012,26,44,13,217,37,120,0,457,SOUTH CENTRAL REGION
ANDHRA PRADESH,CYBERABAD,2012,75,102,45,183,282,976,0,1663,SOUTH CENTRAL REGION
ANDHRA PRADESH,EAST GODAVARI,2012,71,40,17,248,160,536,0,1072,SOUTH CENTRAL REGION
ANDHRA PRADESH,GUNTAKAL RLY.,2012,1,0,1,1,1,2,0,6,SOUTH CENTRAL REGION
ANDHRA PRADESH,GUNTUR,2012,23,53,21,252,83,656,0,1088,SOUTH CENTRAL REGION
ANDHRA PRADESH,GUNTUR URBAN,2012,24,32,9,84,83,687,0,919,SOUTH CENTRAL REGION
ANDHRA PRADESH,HYDERABAD CITY,2012,74,31,23,145,141,1339,0,1753,SOUTH CENTRAL REGION
ANDHRA PRADESH,KARIMNAGAR,2012,40,98,46,224,232,759,0,1399,SOUTH CENTRAL REGION
ANDHRA PRADESH,KHAMMAM,2012,78,62,13,233,172,231,0,789,SOUTH CENTRAL REGION
ANDHRA PRADESH,KRISHNA,2012,67,55,16,341,309,791,0,1579,SOUTH CENTRAL REGION
ANDHRA PRADESH,KURNOOL,2012,22,46,15,331,75,166,0,655,SOUTH CENTRAL REGION
ANDHRA PRADESH,MAHABOOBNAGAR,2012,56,70,27,154,45,204,0,556,SOUTH CENTRAL REGION
ANDHRA PRADESH,MEDAK,2012,26,45,20,112,55,475,0,733,SOUTH CENTRAL REGION
ANDHRA PRADESH,NALGONDA,2012,52,79,20,246,264,302,0,963,SOUTH CENTRAL REGION
ANDHRA PRADESH,NELLORE,2012,23,72,9,210,142,405,0,861,SOUTH CENTRAL REGION
ANDHRA PRADESH,NIZAMABAD,2012,35,23,19,100,102,596,0,875,SOUTH CENTRAL REGION
ANDHRA PRADESH,PRAKASHAM,2012,37,69,16,213,47,263,0,645,SOUTH CENTRAL REGION
ANDHRA PRADESH,RAJAHMUNDRY,2012,13,5,3,49,35,183,0,288,SOUTH CENTRAL REGION
ANDHRA PRADESH,RANGA REDDY,2012,27,21,16,58,31,152,0,305,SOUTH CENTRAL REGION
ANDHRA PRADESH,SECUNDERABAD RLY.,2012,2,0,0,5,5,0,0,12,SOUTH CENTRAL REGION
ANDHRA PRADESH,SRIKAKULAM,2012,39,18,3,116,69,312,0,557,SOUTH CENTRAL REGION
ANDHRA PRADESH,TIRUPATHI URBAN,2012,12,14,6,21,11,96,0,160,SOUTH CENTRAL REGION
ANDHRA PRADESH,VIJAYAWADA CITY,2012,47,39,16,223,418,1136,0,1879,SOUTH CENTRAL REGION
ANDHRA PRADESH,VIJAYAWADA RLY.,2012,0,3,0,5,6,1,0,15,SOUTH CENTRAL REGION
ANDHRA PRADESH,VISAKHA RURAL,2012,27,13,9,67,20,134,0,270,SOUTH CENTRAL REGION
ANDHRA PRADESH,VISAKHAPATNAM,2012,50,20,11,23,11,412,0,527,SOUTH CENTRAL REGION
ANDHRA PRADESH,VIZIANAGARAM,2012,44,20,3,96,103,363,0,629,SOUTH CENTRAL REGION
ANDHRA PRADESH,WARANGAL,2012,56,58,20,117,34,101,0,386,SOUTH CENTRAL REGION
ANDHRA PRADESH,WARANGAL URBAN,2012,30,39,9,71,74,267,0,490,SOUTH CENTRAL REGION
ANDHRA PRADESH,WEST GODAVARI,2012,130,59,19,296,235,757,0,1496,SOUTH CENTRAL REGION
ANDHRA PRADESH,ADILABAD,2013,61,47,12,197,138,464,0,919,SOUTH CENTRAL REGION
ANDHRA PRADESH,ANANTAPUR,2013,28,84,23,337,43,161,0,676,SOUTH CENTRAL REGION
ANDHRA PRADESH,CHITTOOR,2013,31,27,13,119,84,435,0,709,SOUTH CENTRAL REGION
ANDHRA PRADESH,CUDDAPAH,2013,19,50,9,318,163,207,0,766,SOUTH CENTRAL REGION
ANDHRA PRADESH,CYBERABAD,2013,138,129,43,350,338,1526,0,2524,SOUTH CENTRAL REGION
ANDHRA PRADESH,EAST GODAVARI,2013,74,33,15,352,222,483,0,1179,SOUTH CENTRAL REGION
ANDHRA PRADESH,GUNTAKAL RLY.,2013,0,0,0,3,2,0,0,5,SOUTH CENTRAL REGION
ANDHRA PRADESH,GUNTUR,2013,38,54,16,296,135,608,0,1147,SOUTH CENTRAL REGION
ANDHRA PRADESH,GUNTUR URBAN,2013,28,34,7,124,93,326,0,612,SOUTH CENTRAL REGION
ANDHRA PRADESH,HYDERABAD CITY,2013,101,52,39,225,90,1480,0,1987,SOUTH CENTRAL REGION
ANDHRA PRADESH,KARIMNAGAR,2013,57,103,39,354,276,670,0,1499,SOUTH CENTRAL REGION
ANDHRA PRADESH,KHAMMAM,2013,100,104,15,254,297,768,0,1538,SOUTH CENTRAL REGION
ANDHRA PRADESH,KRISHNA,2013,58,37,14,387,274,708,0,1478,SOUTH CENTRAL REGION
ANDHRA PRADESH,KURNOOL,2013,26,50,11,374,199,203,0,863,SOUTH CENTRAL REGION
ANDHRA PRADESH,MAHABOOBNAGAR,2013,117,63,33,219,98,234,0,764,SOUTH CENTRAL REGION
ANDHRA PRADESH,MEDAK,2013,64,38,25,169,73,476,0,845,SOUTH CENTRAL REGION
ANDHRA PRADESH,NALGONDA,2013,77,110,27,367,313,327,0,1221,SOUTH CENTRAL REGION
ANDHRA PRADESH,NELLORE,2013,26,81,8,263,221,374,0,973,SOUTH CENTRAL REGION
ANDHRA PRADESH,NIZAMABAD,2013,49,33,17,142,295,732,0,1268,SOUTH CENTRAL REGION
ANDHRA PRADESH,PRAKASHAM,2013,39,57,8,298,26,484,0,912,SOUTH CENTRAL REGION
ANDHRA PRADESH,RANGA REDDY,2013,37,25,14,69,23,168,0,336,SOUTH CENTRAL REGION
ANDHRA PRADESH,SECUNDERABAD RLY.,2013,0,2,0,11,0,0,0,13,SOUTH CENTRAL REGION
ANDHRA PRADESH,SRIKAKULAM,2013,42,23,3,207,129,361,0,765,SOUTH CENTRAL REGION
ANDHRA PRADESH,TIRUPATHI URBAN,2013,10,15,7,45,31,133,0,241,SOUTH CENTRAL REGION
ANDHRA PRADESH,VIJAYAWADA CITY,2013,48,45,12,249,456,1227,0,2037,SOUTH CENTRAL REGION
ANDHRA PRADESH,VIJAYAWADA RLY.,2013,1,1,2,6,5,0,0,15,SOUTH CENTRAL REGION
ANDHRA PRADESH,VISAKHA RURAL,2013,32,23,8,139,79,210,0,491,SOUTH CENTRAL REGION
ANDHRA PRADESH,VISAKHAPATNAM,2013,67,50,8,149,100,548,0,922,SOUTH CENTRAL REGION
ANDHRA PRADESH,VIZIANAGARAM,2013,42,25,10,165,95,383,0,720,SOUTH CENTRAL REGION
ANDHRA PRADESH,WARANGAL,2013,52,63,20,206,10,129,0,480,SOUTH CENTRAL REGION
ANDHRA PRADESH,WARANGAL URBAN,2013,36,47,16,127,81,195,0,502,SOUTH CENTRAL REGION
ANDHRA PRADESH,WEST GODAVARI,2013,123,86,16,342,245,855,0,1667,SOUTH CENTRAL REGION
ANDHRA PRADESH,ANANTAPUR,2014,35,106,25,436,26,165,0,793,SOUTH CENTRAL REGION
ANDHRA PRADESH,CHITTOOR,2014,32,34,17,135,94,278,0,590,SOUTH CENTRAL REGION
ANDHRA PRADESH,CUDDAPAH,2014,28,16,16,215,12,91,0,378,SOUTH CENTRAL REGION
ANDHRA PRADESH,EAST GODAVARI,2014,85,25,7,519,62,464,0,1162,SOUTH CENTRAL REGION
ANDHRA PRADESH,GUNTAKAL RAILWAY,2014,0,0,0,0,0,0,0,0,SOUTH CENTRAL REGION
ANDHRA PRADESH,GUNTUR,2014,49,46,16,245,347,454,0,1157,SOUTH CENTRAL REGION
ANDHRA PRADESH,GUNTUR URBAN,2014,40,56,12,160,452,345,0,1065,SOUTH CENTRAL REGION
ANDHRA PRADESH,KRISHNA,2014,80,34,8,354,232,613,0,1321,SOUTH CENTRAL REGION
ANDHRA PRADESH,KURNOOL,2014,32,37,12,403,251,362,0,1097,SOUTH CENTRAL REGION
ANDHRA PRADESH,NELLORE,2014,58,124,14,295,205,362,0,1058,SOUTH CENTRAL REGION
ANDHRA PRADESH,PRAKASHAM,2014,50,50,8,197,16,402,0,723,SOUTH CENTRAL REGION
ANDHRA PRADESH,RAJAHMUNDRY,2014,35,8,3,121,27,190,0,384,SOUTH CENTRAL REGION
ANDHRA PRADESH,SRIKAKULAM,2014,40,10,3,214,91,298,0,656,SOUTH CENTRAL REGION
ANDHRA PRADESH,TIRUPATHI URBAN,2014,18,17,13,60,21,167,0,296,SOUTH CENTRAL REGION
ANDHRA PRADESH,VIJAYAWADA CITY,2014,64,27,10,279,212,642,0,1234,SOUTH CENTRAL REGION
ANDHRA PRADESH,VIJAYAWADA RAILWAY,2014,0,2,2,8,6,1,0,19,SOUTH CENTRAL REGION
ANDHRA PRADESH,VISAKHA RURAL,2014,38,15,4,129,57,166,0,409,SOUTH CENTRAL REGION
ANDHRA PRADESH,VISAKHAPATNAM,2014,84,50,13,147,112,371,0,777,SOUTH CENTRAL REGION
ANDHRA PRADESH,VIZIANAGARAM,2014,47,19,8,225,327,330,0,956,SOUTH CENTRAL REGION
ANDHRA PRADESH,WEST GODAVARI,2014,146,45,24,405,99,661,0,1380,SOUTH CENTRAL REGION
ANDHRA PRADESH,ANANTAPUR,2015,32,57,12,325,8,276,0,710,SOUTH CENTRAL REGION
ANDHRA PRADESH,CHITTOOR,2015,31,20,10,94,1,202,0,358,SOUTH CENTRAL REGION
ANDHRA PRADESH,CUDDAPAH,2015,34,17,6,211,82,317,0,667,SOUTH CENTRAL REGION
ANDHRA PRADESH,EAST GODAVARI,2015,104,25,13,574,150,522,0,1388,SOUTH CENTRAL REGION
ANDHRA PRADESH,GUNTAKAL RAILWAY,2015,1,0,0,0,0,0,0,1,SOUTH CENTRAL REGION
ANDHRA PRADESH,GUNTUR,2015,67,42,13,298,338,483,0,1241,SOUTH CENTRAL REGION
ANDHRA PRADESH,GUNTUR URBAN,2015,34,68,11,159,217,333,0,822,SOUTH CENTRAL REGION
ANDHRA PRADESH,KRISHNA,2015,77,19,17,422,200,575,0,1310,SOUTH CENTRAL REGION
ANDHRA PRADESH,KURNOOL,2015,40,34,19,479,557,400,0,1529,SOUTH CENTRAL REGION
ANDHRA PRADESH,NELLORE,2015,69,64,5,314,132,422,0,1006,SOUTH CENTRAL REGION
ANDHRA PRADESH,PRAKASHAM,2015,67,44,10,276,12,427,0,836,SOUTH CENTRAL REGION
ANDHRA PRADESH,RAJAHMUNDRY,2015,29,16,1,120,56,207,0,429,SOUTH CENTRAL REGION
ANDHRA PRADESH,SRIKAKULAM,2015,47,28,6,119,21,214,0,435,SOUTH CENTRAL REGION
ANDHRA PRADESH,TIRUPATHI URBAN,2015,20,16,7,40,22,106,0,211,SOUTH CENTRAL REGION
ANDHRA PRADESH,VIJAYAWADA CITY,2015,53,26,11,196,123,181,0,590,SOUTH CENTRAL REGION
ANDHRA PRADESH,VIJAYAWADA RAILWAY,2015,2,0,1,7,8,0,0,18,SOUTH CENTRAL REGION
ANDHRA PRADESH,VISAKHA RURAL,2015,39,23,3,107,43,128,0,343,SOUTH CENTRAL REGION
ANDHRA PRADESH,VISAKHAPATNAM,2015,87,126,7,257,9,383,0,869,SOUTH CENTRAL REGION
ANDHRA PRADESH,VIZIANAGARAM,2015,34,11,5,191,91,282,0,614,SOUTH CENTRAL REGION
ANDHRA PRADESH,WEST GODAVARI,2015,160,48,17,427,130,663,0,1445,SOUTH CENTRAL REGION
ARUNACHAL PRADESH,CHANGLANG,2001,1,2,0,3,0,0,0,6,EASTERN REGION
ARUNACHAL PRADESH,DIBANG VALLEY,2001,2,4,0,4,0,2,0,12,EASTERN REGION
ARUNACHAL PRADESH,KAMENG EAST,2001,2,5,0,5,0,0,0,12,EASTERN REGION
ARUNACHAL PRADESH,KAMENG WEST,2001,0,2,0,0,0,0,0,2,EASTERN REGION
ARUNACHAL PRADESH,LOHIT,2001,2,6,0,8,0,0,0,16,EASTERN REGION
ARUNACHAL PRADESH,SIANG EAST,2001,5,7,0,7,0,2,0,21,EASTERN REGION
ARUNACHAL PRADESH,SIANG UPPER,2001,2,5,0,3,0,0,0,10,EASTERN REGION
ARUNACHAL PRADESH,SIANG WEST,2001,4,10,0,25,2,2,0,43,EASTERN REGION
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,2,5,0,4,0,0,0,11,EASTERN REGION
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,2,1,0,8,0,2,0,13,EASTERN REGION
ARUNACHAL PRADESH,TAWANG,2001,1,0,0,5,1,0,0,7,EASTERN REGION
ARUNACHAL PRADESH,CHANGLANG,2002,3,2,0,0,0,2,0,7,EASTERN REGION
ARUNACHAL PRADESH,DIBANG VALLEY,2002,5,5,0,4,0,5,0,19,EASTERN REGION
ARUNACHAL PRADESH,KAMENG EAST,2002,1,3,0,6,0,0,0,10,EASTERN REGION
ARUNACHAL PRADESH,KAMENG WEST,2002,0,1,0,0,0,0,0,1,EASTERN REGION
ARUNACHAL PRADESH,LOHIT,2002,3,3,0,8,0,0,0,14,EASTERN REGION
ARUNACHAL PRADESH,PAPUM PARE,2002,3,6,0,9,1,1,0,20,EASTERN REGION
ARUNACHAL PRADESH,SIANG EAST,2002,11,8,0,14,0,1,0,34,EASTERN REGION
ARUNACHAL PRADESH,SIANG UPPER,2002,3,0,0,0,0,0,0,3,EASTERN REGION
ARUNACHAL PRADESH,SIANG WEST,2002,4,6,0,18,0,2,0,30,EASTERN REGION
ARUNACHAL PRADESH,SUBANSIRI LOWER,2002,1,3,0,4,0,0,0,8,EASTERN REGION
ARUNACHAL PRADESH,SUBANSIRI UPPER,2002,2,1,0,4,0,0,0,7,EASTERN REGION
ARUNACHAL PRADESH,TAWANG,2002,1,0,0,0,1,1,0,3,EASTERN REGION
ARUNACHAL PRADESH,TIRAP,2002,1,0,0,1,0,1,0,3,EASTERN REGION
ARUNACHAL PRADESH,CHANGLANG,2003,4,7,0,0,0,2,0,13,EASTERN REGION
ARUNACHAL PRADESH,DIBANG VALLEY,2003,2,1,0,1,0,5,0,9,EASTERN REGION
ARUNACHAL PRADESH,K/KUMEY,2003,0,2,0,0,0,0,0,2,EASTERN REGION
ARUNACHAL PRADESH,KAMENG EAST,2003,0,2,0,10,0,1,0,13,EASTERN REGION
ARUNACHAL PRADESH,KAMENG WEST,2003,1,0,0,0,0,0,0,1,EASTERN REGION
ARUNACHAL PRADESH,LOHIT,2003,1,14,0,5,0,1,0,21,EASTERN REGION
ARUNACHAL PRADESH,PAPUM PARE,2003,3,8,0,7,0,1,0,19,EASTERN REGION
ARUNACHAL PRADESH,SIANG EAST,2003,9,9,0,4,0,1,0,23,EASTERN REGION
ARUNACHAL PRADESH,SIANG UPPER,2003,1,1,0,0,0,0,0,2,EASTERN REGION
ARUNACHAL PRADESH,SIANG WEST,2003,5,4,0,6,0,1,0,16,EASTERN REGION
ARUNACHAL PRADESH,SUBANSIRI LOWER,2003,3,0,0,0,0,0,0,3,EASTERN REGION
ARUNACHAL PRADESH,SUBANSIRI UPPER,2003,1,2,0,0,0,0,0,3,EASTERN REGION
ARUNACHAL PRADESH,TAWANG,2003,0,0,0,1,0,0,0,1,EASTERN REGION
ARUNACHAL PRADESH,TIRAP,2003,1,0,0,9,0,2,0,12,EASTERN REGION
ARUNACHAL PRADESH,UPPER DIBANG VALLEY,2003,0,1,0,0,0,0,0,1,EASTERN REGION
ARUNACHAL PRADESH,CHANGLANG,2004,9,5,0,1,0,1,0,16,EASTERN REGION
ARUNACHAL PRADESH,DIBANG VALLEY,2004,3,0,0,0,0,0,0,3,EASTERN REGION
ARUNACHAL PRADESH,K/KUMEY,2004,0,1,0,0,0,0,0,1,EASTERN REGION
ARUNACHAL PRADESH,KAMENG EAST,2004,0,2,0,4,0,0,0,6,EASTERN REGION
ARUNACHAL PRADESH,KAMENG WEST,2004,2,2,0,1,0,0,0,5,EASTERN REGION
ARUNACHAL PRADESH,LOHIT,2004,5,5,0,8,0,0,0,18,EASTERN REGION
ARUNACHAL PRADESH,PAPUM PARE,2004,4,4,0,8,0,0,0,16,EASTERN REGION
ARUNACHAL PRADESH,SIANG EAST,2004,11,10,0,11,0,1,0,33,EASTERN REGION
ARUNACHAL PRADESH,SIANG UPPER,2004,1,0,0,2,0,0,0,3,EASTERN REGION
ARUNACHAL PRADESH,SIANG WEST,2004,6,6,0,8,0,0,0,20,EASTERN REGION
ARUNACHAL PRADESH,SUBANSIRI LOWER,2004,0,0,0,1,0,0,0,1,EASTERN REGION
ARUNACHAL PRADESH,SUBANSIRI UPPER,2004,0,4,0,3,0,1,0,8,EASTERN REGION
ARUNACHAL PRADESH,TAWANG,2004,0,0,0,13,0,1,0,14,EASTERN REGION
ARUNACHAL PRADESH,TIRAP,2004,1,2,0,1,0,0,0,4,EASTERN REGION
ARUNACHAL PRADESH,UPPER DIBANG VALLEY,2004,0,0,0,0,0,0,0,0,EASTERN REGION
ARUNACHAL PRADESH,CHANGLANG,2005,2,5,0,1,0,1,0,9,EASTERN REGION
ARUNACHAL PRADESH,DIBANG VALLEY,2005,0,4,0,5,0,0,0,9,EASTERN REGION
ARUNACHAL PRADESH,K/KUMEY,2005,1,2,0,0,0,0,0,3,EASTERN REGION
ARUNACHAL PRADESH,KAMENG EAST,2005,2,3,0,5,0,2,0,12,EASTERN REGION
ARUNACHAL PRADESH,KAMENG WEST,2005,0,1,0,2,0,0,0,3,EASTERN REGION
ARUNACHAL PRADESH,LOHIT,2005,3,4,0,7,0,1,0,15,EASTERN REGION
ARUNACHAL PRADESH,PAPUM PARE,2005,6,7,0,4,0,2,0,19,EASTERN REGION
ARUNACHAL PRADESH,SIANG EAST,2005,13,5,0,15,0,1,0,34,EASTERN REGION
ARUNACHAL PRADESH,SIANG UPPER,2005,2,1,0,8,0,0,0,11,EASTERN REGION
ARUNACHAL PRADESH,SIANG WEST,2005,3,4,0,5,0,0,0,12,EASTERN REGION
ARUNACHAL PRADESH,SUBANSIRI LOWER,2005,0,3,0,4,0,0,0,7,EASTERN REGION
ARUNACHAL PRADESH,SUBANSIRI UPPER,2005,2,0,0,5,0,1,0,8,EASTERN REGION
ARUNACHAL PRADESH,TAWANG,2005,1,0,0,1,0,1,0,3,EASTERN REGION
ARUNACHAL PRADESH,TIRAP,2005,0,0,0,5,0,0,0,5,EASTERN REGION
ARUNACHAL PRADESH,UPPER DIBANG VALLEY,2005,0,0,0,0,0,0,0,0,EASTERN REGION
ARUNACHAL PRADESH,CHANGLANG,2006,4,4,0,0,0,2,0,10,EASTERN REGION
ARUNACHAL PRADESH,DIBANG VALLEY,2006,2,2,0,1,0,0,0,5,EASTERN REGION
ARUNACHAL PRADESH,K/KUMEY,2006,2,2,0,0,0,0,0,4,EASTERN REGION
ARUNACHAL PRADESH,KAMENG EAST,2006,1,0,0,2,0,0,0,3,EASTERN REGION
ARUNACHAL PRADESH,KAMENG WEST,2006,2,2,0,3,0,0,0,7,EASTERN REGION
ARUNACHAL PRADESH,LOHIT,2006,3,8,0,3,0,1,0,15,EASTERN REGION
ARUNACHAL PRADESH,PAPUM PARE,2006,5,10,0,14,1,2,0,32,EASTERN REGION
ARUNACHAL PRADESH,SIANG EAST,2006,7,4,0,11,0,1,0,23,EASTERN REGION
ARUNACHAL PRADESH,SIANG UPPER,2006,2,2,0,6,0,1,0,11,EASTERN REGION
ARUNACHAL PRADESH,SIANG WEST,2006,0,7,0,13,1,4,0,25,EASTERN REGION
ARUNACHAL PRADESH,SUBANSIRI LOWER,2006,3,3,0,3,0,0,0,9,EASTERN REGION
ARUNACHAL PRADESH,SUBANSIRI UPPER,2006,2,4,0,6,0,3,0,15,EASTERN REGION
ARUNACHAL PRADESH,TAWANG,2006,0,0,0,1,0,0,0,1,EASTERN REGION
ARUNACHAL PRADESH,TIRAP,2006,4,3,1,0,0,0,0,8,EASTERN REGION
ARUNACHAL PRADESH,UPPER DIBANG VALLEY,2006,0,0,0,0,0,0,0,0,EASTERN REGION
ARUNACHAL PRADESH,CHANGLANG,2007,7,2,0,5,0,4,0,18,EASTERN REGION
ARUNACHAL PRADESH,DIBANG VALLEY,2007,2,3,0,5,0,1,0,11,EASTERN REGION
ARUNACHAL PRADESH,K/KUMEY,2007,1,4,0,0,0,1,0,6,EASTERN REGION
ARUNACHAL PRADESH,KAMENG EAST,2007,1,0,0,10,0,0,0,11,EASTERN REGION
ARUNACHAL PRADESH,KAMENG WEST,2007,1,0,0,2,0,0,0,3,EASTERN REGION
ARUNACHAL PRADESH,LOHIT,2007,5,12,0,4,0,0,0,21,EASTERN REGION
ARUNACHAL PRADESH,PAPUM PARE,2007,8,8,0,15,0,8,0,39,EASTERN REGION
ARUNACHAL PRADESH,SIANG EAST,2007,8,3,0,12,0,1,0,24,EASTERN REGION
ARUNACHAL PRADESH,SIANG UPPER,2007,5,0,0,2,0,0,0,7,EASTERN REGION
ARUNACHAL PRADESH,SIANG WEST,2007,3,5,0,5,1,3,0,17,EASTERN REGION
ARUNACHAL PRADESH,SUBANSIRI LOWER,2007,3,2,0,3,0,0,0,8,EASTERN REGION
ARUNACHAL PRADESH,SUBANSIRI UPPER,2007,3,4,0,5,0,2,0,14,EASTERN REGION
ARUNACHAL PRADESH,TAWANG,2007,1,0,0,2,0,0,0,3,EASTERN REGION
ARUNACHAL PRADESH,TIRAP,2007,0,1,0,2,0,0,0,3,EASTERN REGION
ARUNACHAL PRADESH,UPPER DIBANG VALLEY,2007,0,0,0,0,0,0,0,0,EASTERN REGION
ARUNACHAL PRADESH,CHANGLANG,2008,2,4,0,5,0,0,0,11,EASTERN REGION
ARUNACHAL PRADESH,DIBANG VALLEY,2008,3,4,0,9,0,2,0,18,EASTERN REGION
ARUNACHAL PRADESH,K/KUMEY,2008,2,2,0,2,0,1,0,7,EASTERN REGION
ARUNACHAL PRADESH,KAMENG EAST,2008,5,4,0,0,0,0,0,9,EASTERN REGION
ARUNACHAL PRADESH,KAMENG WEST,2008,0,2,0,4,0,0,0,6,EASTERN REGION
ARUNACHAL PRADESH,LOHIT,2008,3,1,0,1,0,0,0,5,EASTERN REGION
ARUNACHAL PRADESH,PAPUM PARE,2008,7,10,0,12,1,3,0,33,EASTERN REGION
ARUNACHAL PRADESH,SIANG EAST,2008,5,5,0,6,0,1,0,17,EASTERN REGION
ARUNACHAL PRADESH,SIANG UPPER,2008,0,1,0,1,0,0,0,2,EASTERN REGION
ARUNACHAL PRADESH,SIANG WEST,2008,13,8,0,6,0,5,0,32,EASTERN REGION
