Category (Col. 1),State.UT,Mid-Year Projected Female Population(In Lakhs) (Col. 3),Rape Total -I,Rape Total  -R,Custodial Rape - I,Custodial Rape -R, Custodial Rape - Gang Rape - I,Custodial Rape - Gang Rape - R ,Custodial Rape - Other Rape - I , Custodial Rape - Other Rape - R ,Rape Other Than Custodial  - I,Rape Other Than Custodial  - R,Rape Other than Custodial - Gang Rape - I,Rape Other than Custodial - Gang Rape - R,Rape Other than Custodial - Other Rape - I,Rape Other than Custodial - Other Rape - R,Attempt to Commit Rape - I,Attempt to Commit Rape - R, Kidnapping & Abduction of Women (Total) - I, Kidnapping & Abduction of Women (Total) - R, Kidnapping & Abduction of Female - I, Kidnapping & Abduction of Female - R,Kidnapping & Abduction for Murder - I,Kidnapping & Abduction for Murder - R,Kidnapping & Abduction for Ransom - I,Kidnapping & Abduction for Ransom - R,Kidnapping & Abduction for Marriage - I,Kidnapping & Abduction for Marriage - R,Kidnapping & Abduction (Others) - I,Kidnapping & Abduction (Others) - R,Dowry Deaths - I,Dowry Deaths - R,Assault On Women (Total) - I,Assault On Women (Total) - R,Sexual Harassment - I,Sexual Harassment - R,Intent to Disrobe - I,Intent to Disrobe - R, Voyeurism - I, Voyeurism - R,Stalking - I,Stalking - R, Others - I, Others - R,Insult to Modesty of Women (Total) - I,Insult to Modesty of Women (Total) - R,At Office Premises - I,At Office Premises - R,Other Places Related To Work - I,Other Places Related To Work - R, In Public Transport system - I, In Public Transport system - R,Other Places - I,Other Places - R,Cruelty By Husband Or His Relatives - I,Cruelty By Husband Or His Relatives -R,Importation of Girls upto 21 Years - I,Importation of Girls upto 21 Years - R,Abetment of Suicide of Women - (Section 306 IPC) - I (Col. 88),Abetment of Suicide of Women - (Section 306 IPC) - R (Col. 90),"Dowry Prohibition Act, 1961 - I (Col. 91)","Dowry Prohibition Act, 1961 - R (Col. 93)","Indecent Representation of Women (Prohibition) Act, 1986 - I (Col. 94)","Indecent Representation of Women (Prohibition) Act, 1986 - R (Col. 96)","Commission of Sati Prevention Act, 1987 - I (Col. 97)","Commission of Sati Prevention Act, 1987 - R (Col. 99)","Protection of Women From Domestic Violence Act, 2005 - I (Col. 100)","Protection of Women From Domestic Violence Act, 2005 - R (Col. 102)",Immoral Traffic (Prevention) Act - Immoral Traffic (Prevention) Act (Total) - I (Col. 103),Immoral Traffic (Prevention) Act - Immoral Traffic (Prevention) Act (Total) - R (Col. 105),Immoral Traffic (Prevention) Act - Under ITP Section 5 - I (Col. 106),Immoral Traffic (Prevention) Act - Under ITP Section 5 - R (Col. 108),Immoral Traffic (Prevention) Act - Under ITP Section 6 - I (Col. 109),Immoral Traffic (Prevention) Act - Under ITP Section 6 - R (Col. 111),Immoral Traffic (Prevention) Act - Under ITP Section 7 - I (Col. 112),Immoral Traffic (Prevention) Act - Under ITP Section 7 - R (Col. 114),Immoral Traffic (Prevention) Act - Under ITP Section 8 - I (Col. 115),Immoral Traffic (Prevention) Act - Under ITP Section 8 - R (Col. 117),Immoral Traffic (Prevention) Act - Other Sections of ITP Act - I (Col. 118),Immoral Traffic (Prevention) Act - Other Sections of ITP Act - R (Col. 120),Total Crimes Against Women - I,Total Crimes Against Women - R
State,Tamil Nadu,344.8,421,1.2,0,0,0,0,0,0,421,1.2,4,0,417,1.2,29,0.1,1335,3.9,133,0.4,1,0,6,0,1104,3.2,91,0.3,65,0.2,1163,3.4,197,0.6,38,0.1,9,0,11,0,908,2.6,20,0.1,0,0,0,0,0,0,20,0.1,1900,5.5,0,0,79,0.2,333,1,7,0,0,0,4,0,491,1.4,337,1,31,0.1,44,0.1,13,0,66,0.2,5847,17
State,Telangana,182.1,1105,6.1,0,0,0,0,0,0,1105,6.1,26,0.1,1079,5.9,43,0.2,648,3.6,201,1.1,1,0,13,0.1,291,1.6,142,0.8,262,1.4,3608,19.8,620,3.4,200,1.1,52,0.3,766,4.2,1970,10.8,1288,7.1,32,0.2,169,0.9,179,1,908,5,7329,40.3,0,0,590,3.2,2,0,2,0,0,0,6,0,252,1.4,214,1.2,0,0,1,0,0,0,37,0.2,15135,83.1
State,Tripura,18.6,213,11.5,0,0,0,0,0,0,213,11.5,10,0.5,203,10.9,38,2,120,6.5,10,0.5,0,0,0,0,56,3,54,2.9,28,1.5,352,19,28,1.5,169,9.1,0,0,0,0,155,8.3,6,0.3,0,0,1,0.1,0,0,5,0.3,501,27,0,0,7,0.4,0,0,0,0,0,0,0,0,2,0.1,2,0.1,0,0,0,0,0,0,0,0,1267,68.2
State,Uttar Pradesh,1021.2,3025,3,91,0.1,4,0,87,0.1,2934,2.9,458,0.4,2476,2.4,422,0.4,10135,9.9,1428,1.4,73,0.1,3,0,8290,8.1,341,0.3,2335,2.3,7885,7.7,5925,5.8,1093,1.1,61,0.1,519,0.5,287,0.3,11,0,0,0,10,0,1,0,0,0,8660,8.5,0,0,251,0.2,2766,2.7,0,0,0,0,4,0,33,0,30,0,1,0,1,0,1,0,0,0,35527,34.8
State,Uttarakhand,51.6,283,5.5,2,0,0,0,2,0,281,5.4,9,0.2,272,5.3,10,0.2,336,6.5,98,1.9,0,0,0,0,33,0.6,205,4,54,1,318,6.2,51,1,17,0.3,6,0.1,15,0.3,229,4.4,12,0.2,0,0,0,0,0,0,12,0.2,407,7.9,2,0,1,0,12,0.2,0,0,0,0,0,0,18,0.3,13,0.3,0,0,1,0,0,0,4,0.1,1453,28.2
State,West Bengal,452.5,1199,2.6,1,0,0,0,1,0,1198,2.6,109,0.2,1089,2.4,1551,3.4,3938,8.7,1429,3.2,17,0,24,0.1,1309,2.9,1159,2.6,498,1.1,5069,11.2,674,1.5,1054,2.3,93,0.2,231,0.5,3017,6.7,455,1,6,0,8,0,4,0,437,1,20163,44.6,4,0,233,0.5,4,0,1,0,0,0,2,0,101,0.2,35,0.1,3,0,1,0,23,0.1,39,0.1,33218,73.4
TOTAL (STATES),TOTAL (STATES),5957.4,32328,5.4,95,0,4,0,91,0,32233,5.4,2016,0.3,30217,5.1,4384,0.7,54754,9.2,14216,2.4,117,0,93,0,31715,5.3,8613,1.4,7505,1.3,76871,12.9,22833,3.8,8056,1.4,768,0.1,5119,0.9,40095,6.7,7167,1.2,83,0,485,0.1,295,0,6304,1.1,109731,18.4,6,0,4027,0.7,9862,1.7,39,0,0,0,455,0.1,2420,0.4,1189,0.2,79,0,176,0,288,0,688,0.1,309549,52
UT,A & N Islands,2.7,36,13.5,0,0,0,0,0,0,36,13.5,1,0.4,35,13.2,0,0,21,7.9,21,7.9,0,0,0,0,0,0,0,0,0,0,57,21.4,23,8.6,2,0.8,1,0.4,5,1.9,26,9.8,5,1.9,0,0,0,0,0,0,5,1.9,14,5.3,0,0,1,0.4,0,0,0,0,0,0,2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,136,51.1
UT,Chandigarh,7.1,72,10.1,0,0,0,0,0,0,72,10.1,4,0.6,68,9.5,6,0.8,165,23.1,97,13.6,0,0,0,0,56,7.8,12,1.7,5,0.7,76,10.6,22,3.1,2,0.3,1,0.1,13,1.8,38,5.3,10,1.4,0,0,1,0.1,1,0.1,8,1.1,126,17.6,0,0,3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,64.8
UT,D&N Haveli,1.9,8,4.1,0,0,0,0,0,0,8,4.1,0,0,8,4.1,0,0,9,4.6,9,4.6,0,0,0,0,0,0,0,0,1,0.5,5,2.6,0,0,0,0,0,0,0,0,5,2.6,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12.9
UT,Daman & Diu,1.1,5,4.7,0,0,0,0,0,0,5,4.7,0,0,5,4.7,0,0,13,12.3,9,8.5,0,0,0,0,3,2.8,1,0.9,0,0,7,6.6,3,2.8,0,0,0,0,2,1.9,2,1.9,0,0,0,0,0,0,0,0,0,0,3,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,26.4
UT,Delhi UT,92.8,2199,23.7,0,0,0,0,0,0,2199,23.7,92,1,2107,22.7,46,0.5,4301,46.3,3736,40.3,0,0,5,0.1,3,0,557,6,122,1.3,5367,57.8,1150,12.4,547,5.9,65,0.7,1124,12.1,2481,26.7,1492,16.1,36,0.4,228,2.5,19,0.2,1209,13,3521,37.9,0,0,29,0.3,20,0.2,0,0,0,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,17104,184.3
UT,Lakshadweep,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14.6,0,0,0,0,0,0,0,0,6,14.6,1,2.4,0,0,0,0,0,0,1,2.4,2,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22
UT,Puducherry,7.4,3,0.4,0,0,0,0,0,0,3,0.4,0,0,3,0.4,1,0.1,14,1.9,13,1.8,0,0,0,0,1,0.1,0,0,1,0.1,33,4.5,10,1.4,6,0.8,3,0.4,3,0.4,11,1.5,10,1.4,0,0,0,0,0,0,10,1.4,4,0.5,0,0,0,0,12,1.6,1,0.1,0,0,0,0,1,0.1,1,0.1,0,0,0,0,0,0,0,0,80,10.9
TOTAL (UTS),TOTAL (UTS),113.4,2323,20.5,0,0,0,0,0,0,2323,20.5,97,0.9,2226,19.6,53,0.5,4523,39.9,3885,34.3,0,0,5,0,63,0.6,570,5,129,1.1,5551,49,1208,10.7,557,4.9,70,0.6,1147,10.1,2569,22.7,1518,13.4,36,0.3,229,2,20,0.2,1233,10.9,3672,32.4,0,0,33,0.3,32,0.3,1,0,0,0,6,0.1,4,0,4,0,0,0,0,0,0,0,0,0,17845,157.4
TOTAL (ALL INDIA),TOTAL (ALL INDIA),6070.8,34651,5.7,95,0,4,0,91,0,34556,5.7,2113,0.3,32443,5.3,4437,0.7,59277,9.8,18101,3,117,0,98,0,31778,5.2,9183,1.5,7634,1.3,82422,13.6,24041,4,8613,1.4,838,0.1,6266,1,42664,7,8685,1.4,119,0,714,0.1,315,0.1,7537,1.2,113403,18.7,6,0,4060,0.7,9894,1.6,40,0,0,0,461,0.1,2424,0.4,1193,0.2,79,0,176,0,288,0,688,0.1,327394,53.9
