Category,STATE/UT,Population in lakhhs,Rape - Incidents,Rape - Rate,Rape Percentage,Kidnapping & Abduction  -Incidents,Kidnapping & Abduction - Rate,Kidnapping & Abduction Percentage,Dowry Deaths  -Incidents,Dowry Deaths - Rate,Dowry Deaths - Percentage,Cruelty by Husband and Relatives - Incidents,Cruelty by Husband and Relatives - Rate,Cruelty by Husband and Relatives( - Percentage,Molestation - Incidents,Molestation - Rate,Molestation - Percentage,Sexual Harassment - Incidents,Sexual Harassment - Rate,Sexual Harassment - Percentage,Importation of Girls - Incidents,Importation of Girls - Rate,Importation of Girls - Percentage,Sati Prevention Act - Incidents,Sati Prevention Act - Rate,Sati Prevention Act - Percentage,Immoral Traffic Act - Incidents,Immoral Traffic Act - Rate,Immoral Traffic Act - Percentage,Indecent Representation of Women - Incidents,Indecent Representation of Women - Rate,Indecent Representation of Women - Percentage,Dowry Prohibition Act - Incidents,Dowry Prohibition Act _ Rate,Dowry Prohibition Act - Percentage,Total - Incidents,Total - Rate,Total - Percentage,Year
City,Mumbai,163.68,127,0.8,10.1,12,0.1,0.5,18,0.1,3.2,198,1.2,3.2,274,1.7,10.6,44,0.3,1.8,0,0,0,0,0,0,180,1.1,5,0,0,0,0,0,0,853,5.2,4.3,2001
City,Nagpur,21.23,39,1.8,3.1,51,2.4,2.2,7,0.3,1.3,218,10.3,3.5,75,3.5,2.9,56,2.6,2.3,0,0,0,0,0,0,7,0.3,0.2,0,0,0,3,0.1,0.9,456,21.5,2.3,2001
City,Nasik,11.52,9,0.8,0.7,9,0.8,0.4,3,0.3,0.5,99,8.6,1.6,19,1.6,0.7,2,0.2,0.1,0,0,0,0,0,0,2,0.2,0.1,0,0,0,0,0,0,143,12.4,0.7,2001
City,Patna,17.07,17,1,1.3,7,0.4,0.3,40,2.3,7.2,97,5.7,1.6,21,1.2,0.8,0,0,0,28,1.6,90.3,0,0,0,13,0.8,0.4,0,0,0,21,1.2,6.4,244,14.3,1.2,2001
City,Pune,37.56,56,1.5,4.4,28,0.7,1.2,2,0.1,0.4,147,3.9,2.4,54,1.4,2.1,105,2.8,4.4,1,0,3.2,0,0,0,18,0.5,0.5,0,0,0,0,0,0,411,10.9,2.1,2001
City,Rajkot,10.02,5,0.5,0.4,38,3.8,1.7,3,0.3,0.5,199,19.9,3.2,19,1.9,0.7,12,1.2,0.5,0,0,0,0,0,0,6,0.6,0.2,0,0,0,0,0,0,282,28.1,1.4,2001
City,Surat,28.11,11,0.4,0.9,37,1.3,1.6,20,0.7,3.6,132,4.7,2.1,10,0.4,0.4,1,0,0,0,0,0,0,0,0,45,1.6,1.2,0,0,0,0,0,0,256,9.1,1.3,2001
City,Vadodara,14.92,3,0.2,0.2,32,2.1,1.4,0,0,0,90,6,1.5,11,0.7,0.4,10,0.7,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,9.8,0.7,2001
City,Varanasi,12.12,17,1.4,1.3,17,1.4,0.7,15,1.2,2.7,58,4.8,0.9,5,0.4,0.2,81,6.7,3.4,0,0,0,0,0,0,0,0,0,0,0,0,4,0.3,1.2,197,16.3,1,2001
City,Vijayawada,10.11,25,2.5,2,48,4.7,2.1,2,0.2,0.4,520,51.4,8.4,84,8.3,3.2,122,12.1,5.1,0,0,0,0,0,0,70,6.9,1.9,0,0,0,2,0.2,0.6,873,86.4,4.4,2001
City,Vishakhapatnam,13.29,13,1,1,6,0.5,0.3,0,0,0,204,15.3,3.3,33,2.5,1.3,462,34.8,19.2,0,0,0,0,0,0,26,2,0.7,0,0,0,2,0.2,0.6,746,56.1,3.8,2001
State,Andhra Pradesh,769.15,1002,1.3,6.1,854,1.1,5.9,449,0.6,6.6,7018,9.1,14.3,3799,4.9,11.2,2024,2.6,19.9,0,0,0,0,0,0,871,1.1,7.7,2403,3.1,95.8,460,0.6,16.3,18880,24.5,12.8,2002
State,Arunachal Pradesh,11.15,38,3.4,0.2,38,3.4,0.3,0,0,0,13,1.2,0,68,6.1,0.2,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,14.3,0.1,2002
State,Assam,272.47,970,3.6,5.9,1276,4.7,8.8,70,0.3,1,1694,6.2,3.4,984,3.6,2.9,7,0,0.1,0,0,0,0,0,0,24,0.1,0.2,3,0,0.1,64,0.2,2.3,5092,18.7,3.4,2002
State,Bihar,851.71,1040,1.2,6.4,744,0.9,5.1,927,1.1,13.6,1577,1.9,3.2,621,0.7,1.8,6,0,0.1,38,0,50,0,0,0,10,0,0.1,1,0,0,779,0.9,27.7,5743,6.7,3.9,2002
State,Chhattisgarh,213.03,992,4.7,6.1,154,0.7,1.1,85,0.4,1.2,653,3.1,1.3,1483,7,4.4,147,0.7,1.4,0,0,0,0,0,0,4656,21.9,41.4,0,0,0,12,0.1,0.4,8182,38.4,5.5,2002
State,Goa,13.88,12,0.9,0.1,5,0.4,0,2,0.1,0,8,0.6,0,18,1.3,0.1,6,0.4,0.1,0,0,0,0,0,0,25,1.8,0.2,0,0,0,0,0,0,76,5.5,0.1,2002
State,Gujarat,517.89,267,0.5,1.6,807,1.6,5.6,62,0.1,0.9,3321,6.4,6.7,750,1.4,2.2,104,0.2,1,0,0,0,0,0,0,57,0.1,0.5,4,0,0.2,1,0,0,5373,10.4,3.6,2002
State,Haryana,216.44,361,1.7,2.2,290,1.3,2,256,1.2,3.8,1565,7.2,3.2,454,2.1,1.3,1424,6.6,14,0,0,0,0,0,0,32,0.1,0.3,0,0,0,3,0,0.1,4385,20.3,3,2002
State,Himachal Pradesh,61.78,137,2.2,0.8,116,1.9,0.8,6,0.1,0.1,234,3.8,0.5,326,5.3,1,12,0.2,0.1,0,0,0,0,0,0,2,0,0,0,0,0,5,0.1,0.2,838,13.6,0.6,2002
State,Jammu & Kashmir,104.4,192,1.8,1.2,596,5.7,4.1,18,0.2,0.3,54,0.5,0.1,785,7.5,2.3,368,3.5,3.6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2016,19.3,1.4,2002
State,Jharkhand,275.43,797,2.9,4.9,178,0.6,1.2,275,1,4,588,2.1,1.2,411,1.5,1.2,3,0,0,36,0.1,47.4,0,0,0,3,0,0,0,0,0,199,0.7,7.1,2490,9,1.7,2002
State,Karnataka,536.81,292,0.5,1.8,300,0.6,2.1,233,0.4,3.4,1826,3.4,3.7,1648,3.1,4.9,100,0.2,1,0,0,0,0,0,0,1388,2.6,12.3,0,0,0,383,0.7,13.6,6170,11.5,4.2,2002
State,Kerala,322.7,499,1.5,3,91,0.3,0.6,17,0.1,0.2,2836,8.8,5.8,2123,6.6,6.3,102,0.3,1,0,0,0,0,0,0,132,0.4,1.2,26,0.1,1,3,0,0.1,5829,18.1,3.9,2002
State,Madhya Pradesh,620.72,2891,4.7,17.7,639,1,4.4,674,1.1,9.9,3117,5,6.3,7118,11.5,21,783,1.3,7.7,0,0,0,0,0,0,14,0,0.1,0,0,0,24,0,0.9,15260,24.6,10.3,2002
State,Maharashtra,988.26,1352,1.4,8.3,650,0.7,4.5,303,0.3,4.4,5353,5.4,10.9,2686,2.7,7.9,769,0.8,7.6,0,0,0,0,0,0,182,0.2,1.6,4,0,0.2,23,0,0.8,11322,11.5,7.7,2002
State,Manipur,24.43,14,0.6,0.1,82,3.4,0.6,0,0,0,10,0.4,0,58,2.4,0.2,0,0,0,0,0,0,0,0,0,6,0.2,0.1,0,0,0,0,0,0,170,7,0.1,2002
State,Meghalaya,23.58,38,1.6,0.2,10,0.4,0.1,0,0,0,0,0,0,23,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,3,0,2002
State,Mizoram,9.1,76,8.4,0.5,2,0.2,0,0,0,0,3,0.3,0,73,8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,16.9,0.1,2002
State,Nagaland,20.47,17,0.8,0.1,4,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0.2,0,0,0,0,0,0,0,26,1.3,0,2002
State,Orissa,373.43,691,1.9,4.2,432,1.2,3,248,0.7,3.6,1167,3.1,2.4,1605,4.3,4.7,188,0.5,1.9,0,0,0,0,0,0,24,0.1,0.2,0,0,0,424,1.1,15.1,4779,12.8,3.2,2002
State,Punjab,247.71,299,1.2,1.8,354,1.4,2.4,166,0.7,2.4,944,3.8,1.9,341,1.4,1,145,0.6,1.4,0,0,0,0,0,0,38,0.2,0.3,8,0,0.3,0,0,0,2295,9.3,1.6,2002
State,Rajasthan,581.25,1051,1.8,6.4,2019,3.5,13.9,399,0.7,5.8,5691,9.8,11.6,2730,4.7,8,44,0.1,0.4,0,0,0,0,0,0,55,0.1,0.5,54,0.1,2.2,6,0,0.2,12049,20.7,8.2,2002
State,Sikkim,5.53,6,1.1,0,2,0.4,0,0,0,0,3,0.5,0,17,3.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,5.1,0,2002
State,Tamil Nadu,629.43,534,0.8,3.3,714,1.1,4.9,243,0.4,3.6,1052,1.7,2.1,1877,3,5.5,1718,2.7,16.9,0,0,0,0,0,0,3530,5.6,31.4,5,0,0.2,125,0.2,4.4,9798,15.6,6.6,2002
State,Tripura,32.47,108,3.3,0.7,48,1.5,0.3,16,0.5,0.2,236,7.3,0.5,128,3.9,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,16.5,0.4,2002
State,Uttar Pradesh,1708.1,1415,0.8,8.6,2298,1.3,15.8,1893,1.1,27.7,5679,3.3,11.5,2145,1.3,6.3,1887,1.1,18.6,0,0,0,0,0,0,42,0,0.4,0,0,0,288,0.2,10.2,15647,9.2,10.6,2002
State,Uttaranchal,86.76,89,1,0.5,155,1.8,1.1,66,0.8,1,316,3.6,0.6,145,1.7,0.4,97,1.1,1,1,0,1.3,0,0,0,0,0,0,0,0,0,1,0,0,870,10,0.6,2002
State,West Bengal,817.07,759,0.9,4.6,694,0.8,4.8,273,0.3,4,4069,5,8.3,964,1.2,2.8,34,0,0.3,1,0,1.3,0,0,0,42,0.1,0.4,0,0,0,6,0,0.2,6842,8.4,4.6,2002
Union Territory,A & N Islands,3.65,2,0.5,0,1,0.3,0,0,0,0,4,1.1,0,17,4.7,0.1,3,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,7.4,0,2002
Union Territory,Chandigarh,9.32,18,1.9,0.1,47,5,0.3,1,0.1,0,56,6,0.1,36,3.9,0.1,28,3,0.3,0,0,0,0,0,0,3,0.3,0,0,0,0,0,0,0,189,20.3,0.1,2002
Union Territory,D & N Haveli,2.28,4,1.8,0,5,2.2,0,0,0,0,3,1.3,0,3,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6.6,0,2002
Union Territory,Daman & Diu,1.64,0,0,0,2,1.2,0,0,0,0,3,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.8,0,0,0,0,0,0,0,8,4.9,0,2002
Union Territory,Delhi,143.83,403,2.8,2.5,893,6.2,6.2,135,0.9,2,135,0.9,0.3,446,3.1,1.3,128,0.9,1.3,0,0,0,0,0,0,69,0.5,0.6,0,0,0,7,0,0.2,2216,15.4,1.5,2002
Union Territory,Lakshadweep,0.62,1,1.6,0,0,0,0,0,0,0,0,0,0,1,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.2,0,2002
Union Territory,Puducherry,9.91,6,0.6,0,6,0.6,0,5,0.5,0.1,9,0.9,0,59,6,0.2,26,2.6,0.3,0,0,0,0,0,0,27,2.7,0.2,0,0,0,3,0.3,0.1,141,14.2,0.1,2002
City,Agra,13.21,41,3.1,3.1,102,7.7,4.5,50,3.8,8.2,372,28.2,5.7,86,6.5,3.2,82,6.2,2.4,0,0,0,0,0,0,3,0.2,0.1,0,0,0,0,0,0,736,55.7,3.7,2002
City,Ahmedabad,45.19,12,0.3,0.9,92,2,4.1,6,0.1,1,433,9.6,6.7,36,0.8,1.3,18,0.4,0.5,0,0,0,0,0,0,2,0,0.1,0,0,0,0,0,0,599,13.3,3,2002
City,Allahabad,10.5,17,1.6,1.3,25,2.4,1.1,6,0.6,1,59,5.6,0.9,8,0.8,0.3,36,3.4,1,0,0,0,0,0,0,15,1.4,0.7,0,0,0,2,0.2,0.5,168,16,0.8,2002
City,Amritsar,10.11,4,0.4,0.3,20,2,0.9,6,0.6,1,59,5.8,0.9,10,1,0.4,0,0,0,0,0,0,0,0,0,6,0.6,0.3,0,0,0,0,0,0,105,10.4,0.5,2002
City,Asansol,10.91,1,0.1,0.1,0,0,0,2,0.2,0.3,28,2.6,0.4,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2.9,0.2,2002
City,Bangalore,56.87,32,0.6,2.4,58,1,2.6,33,0.6,5.4,242,4.3,3.7,237,4.2,8.8,62,1.1,1.8,0,0,0,0,0,0,408,7.2,20.2,0,0,0,259,4.6,60,1331,23.4,6.7,2002
City,Bhopal,14.55,56,3.8,4.3,14,1,0.6,13,0.9,2.1,114,7.8,1.8,175,12,6.5,41,2.8,1.2,0,0,0,0,0,0,3,0.2,0.1,0,0,0,0,0,0,416,28.6,2.1,2002
City,Chennai,64.25,26,0.4,2,21,0.3,0.9,20,0.3,3.3,106,1.6,1.6,61,0.9,2.3,941,14.6,27.3,0,0,0,0,0,0,647,10.1,32.1,1,0,0.2,0,0,0,1823,28.4,9.2,2002
City,Coimbatore,14.46,2,0.1,0.2,4,0.3,0.2,7,0.5,1.1,28,1.9,0.4,14,1,0.5,16,1.1,0.5,0,0,0,0,0,0,218,15.1,10.8,0,0,0,0,0,0,289,20,1.5,2002
City,Delhi (City),127.91,320,2.5,24.4,759,5.9,33.7,108,0.8,17.6,127,1,2,356,2.8,13.3,116,0.9,3.4,0,0,0,0,0,0,69,0.5,3.4,0,0,0,7,0.1,1.6,1862,14.6,9.4,2002
City,Dhanbad,10.64,40,3.8,3,58,5.5,2.6,36,3.4,5.9,28,2.6,0.4,57,5.4,2.1,3,0.3,0.1,0,0,0,0,0,0,1,0.1,0,0,0,0,62,5.8,14.4,285,26.8,1.4,2002
City,Faridabad,10.55,16,1.5,1.2,24,2.3,1.1,10,0.9,1.6,50,4.7,0.8,7,0.7,0.3,857,81.2,24.9,0,0,0,0,0,0,5,0.5,0.2,0,0,0,0,0,0,969,91.8,4.9,2002
City,Hyderabad,55.34,57,1,4.3,61,1.1,2.7,24,0.4,3.9,590,10.7,9.1,138,2.5,5.1,123,2.2,3.6,0,0,0,0,0,0,44,0.8,2.2,548,9.9,97.7,3,0.1,0.7,1588,28.7,8,2002
City,Indore,16.39,61,3.7,4.6,21,1.3,0.9,13,0.8,2.1,162,9.9,2.5,132,8.1,4.9,46,2.8,1.3,0,0,0,0,0,0,3,0.2,0.1,0,0,0,0,0,0,438,26.7,2.2,2002
City,Jabalpur,11.17,47,4.2,3.6,12,1.1,0.5,26,2.3,4.2,82,7.3,1.3,120,10.7,4.5,49,4.4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,30.1,1.7,2002
City,Jaipur,23.24,42,1.8,3.2,169,7.3,7.5,17,0.7,2.8,397,17.1,6.1,119,5.1,4.4,0,0,0,0,0,0,0,0,0,21,0.9,1,0,0,0,0,0,0,765,32.9,3.9,2002
City,Jamshedpur,11.02,56,5.1,4.3,18,1.6,0.8,5,0.5,0.8,61,5.5,0.9,27,2.5,1,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,168,15.2,0.8,2002
City,Kanpur,26.9,30,1.1,2.3,126,4.7,5.6,50,1.9,8.2,307,11.4,4.7,75,2.8,2.8,123,4.6,3.6,0,0,0,0,0,0,0,0,0,0,0,0,25,0.9,5.8,736,27.4,3.7,2002
City,Kochi,13.55,8,0.6,0.6,3,0.2,0.1,1,0.1,0.2,57,4.2,0.9,56,4.1,2.1,4,0.3,0.1,0,0,0,0,0,0,6,0.4,0.3,2,0.1,0.4,0,0,0,137,10.1,0.7,2002
City,Kolkata,132.17,33,0.2,2.5,74,0.6,3.3,4,0,0.7,235,1.8,3.6,160,1.2,6,24,0.2,0.7,0,0,0,0,0,0,28,0.2,1.4,0,0,0,0,0,0,558,4.2,2.8,2002
City,Lucknow,22.67,22,1,1.7,119,5.2,5.3,35,1.5,5.7,324,14.3,5,47,2.1,1.8,102,4.5,3,0,0,0,0,0,0,3,0.1,0.1,0,0,0,0,0,0,652,28.8,3.3,2002
City,Ludhiana,13.95,37,2.7,2.8,86,6.2,3.8,15,1.1,2.5,136,9.7,2.1,84,6,3.1,120,8.6,3.5,0,0,0,0,0,0,2,0.1,0.1,8,0.6,1.4,0,0,0,488,35,2.5,2002
City,Madurai,11.95,7,0.6,0.5,12,1,0.5,6,0.5,1,25,2.1,0.4,23,1.9,0.9,123,10.3,3.6,0,0,0,0,0,0,201,16.8,10,0,0,0,0,0,0,397,33.2,2,2002
City,Meerut,11.67,12,1,0.9,45,3.9,2,9,0.8,1.5,142,12.2,2.2,19,1.6,0.7,62,5.3,1.8,0,0,0,0,0,0,4,0.3,0.2,0,0,0,0,0,0,293,25.1,1.5,2002
City,Mumbai,163.68,128,0.8,9.8,61,0.4,2.7,18,0.1,2.9,214,1.3,3.3,254,1.6,9.5,40,0.2,1.2,0,0,0,0,0,0,138,0.8,6.8,0,0,0,1,0,0.2,854,5.2,4.3,2002
City,Nagpur,21.23,49,2.3,3.7,41,1.9,1.8,4,0.2,0.7,210,9.9,3.2,63,3,2.3,38,1.8,1.1,0,0,0,0,0,0,4,0.2,0.2,0,0,0,3,0.1,0.7,412,19.4,2.1,2002
City,Nasik,11.52,12,1,0.9,8,0.7,0.4,3,0.3,0.5,136,11.8,2.1,20,1.7,0.7,11,1,0.3,0,0,0,0,0,0,2,0.2,0.1,0,0,0,0,0,0,192,16.7,1,2002
City,Patna,17.07,17,1,1.3,24,1.4,1.1,27,1.6,4.4,103,6,1.6,29,1.7,1.1,0,0,0,0,0,0,0,0,0,3,0.2,0.1,0,0,0,23,1.3,5.3,226,13.2,1.1,2002
City,Pune,37.56,51,1.4,3.9,22,0.6,1,5,0.1,0.8,131,3.5,2,59,1.6,2.2,97,2.6,2.8,0,0,0,0,0,0,11,0.3,0.5,0,0,0,0,0,0,376,10,1.9,2002
City,Rajkot,10.02,6,0.6,0.5,29,2.9,1.3,5,0.5,0.8,173,17.3,2.7,28,2.8,1,12,1.2,0.3,0,0,0,0,0,0,7,0.7,0.3,0,0,0,0,0,0,260,25.9,1.3,2002
City,Surat,28.11,18,0.6,1.4,36,1.3,1.6,20,0.7,3.3,112,4,1.7,18,0.6,0.7,12,0.4,0.3,0,0,0,0,0,0,43,1.5,2.1,0,0,0,0,0,0,259,9.2,1.3,2002
City,Vadodara,14.92,5,0.3,0.4,28,1.9,1.2,0,0,0,80,5.4,1.2,9,0.6,0.3,7,0.5,0.2,0,0,0,0,0,0,1,0.1,0,2,0.1,0.4,0,0,0,132,8.8,0.7,2002
City,Varanasi,12.12,8,0.7,0.6,26,2.1,1.2,16,1.3,2.6,54,4.5,0.8,8,0.7,0.3,93,7.7,2.7,0,0,0,0,0,0,2,0.2,0.1,0,0,0,9,0.7,2.1,216,17.8,1.1,2002
City,Vijayawada,10.11,31,3.1,2.4,43,4.3,1.9,9,0.9,1.5,869,86,13.4,119,11.8,4.4,171,16.9,5,0,0,0,0,0,0,87,8.6,4.3,0,0,0,35,3.5,8.1,1364,134.9,6.9,2002
City,Vishakhapatnam,13.29,8,0.6,0.6,10,0.8,0.4,3,0.2,0.5,235,17.7,3.6,28,2.1,1,18,1.4,0.5,0,0,0,0,0,0,27,2,1.3,0,0,0,3,0.2,0.7,332,25,1.7,2002
State,Andhra Pradesh,778.73,946,1.2,6,931,1.2,7,466,0.6,7.5,8167,10.5,16.1,4128,5.3,12.5,2286,2.9,18.5,5,0,10.9,0,0,0,349,0.4,6.3,909,1.2,87.2,195,0.3,7.3,18382,23.6,13.1,2003
State,Arunachal Pradesh,11.3,31,2.7,0.2,51,4.5,0.4,0,0,0,14,1.2,0,43,3.8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,12.3,0.1,2003
State,Assam,277.25,1095,3.9,6.9,1351,4.9,10.2,60,0.2,1,1808,6.5,3.6,878,3.2,2.7,6,0,0,0,0,0,0,0,0,22,0.1,0.4,0,0,0,92,0.3,3.4,5312,19.2,3.8,2003
State,Bihar,867.74,985,1.1,6.2,674,0.8,5.1,909,1,14.6,1880,2.2,3.7,688,0.8,2.1,11,0,0.1,37,0,80.4,0,0,0,9,0,0.2,1,0,0.1,706,0.8,26.3,5900,6.8,4.2,2003
State,Chhattisgarh,217.21,898,4.1,5.7,149,0.7,1.1,79,0.4,1.3,601,2.8,1.2,1481,6.8,4.5,105,0.5,0.9,0,0,0,0,0,0,7,0,0.1,0,0,0,16,0.1,0.6,3336,15.4,2.4,2003
State,Goa,14.25,31,2.2,0.2,13,0.9,0.1,2,0.1,0,24,1.7,0,19,1.3,0.1,7,0.5,0.1,0,0,0,0,0,0,25,1.8,0.5,0,0,0,0,0,0,121,8.5,0.1,2003
State,Gujarat,526.39,236,0.4,1.5,859,1.6,6.5,54,0.1,0.9,3684,7,7.3,722,1.4,2.2,92,0.2,0.7,0,0,0,0,0,0,74,0.1,1.3,14,0,1.3,0,0,0,5735,10.9,4.1,2003
State,Haryana,220.4,353,1.6,2.2,271,1.2,2,222,1,3.6,1618,7.3,3.2,344,1.6,1,1302,5.9,10.6,0,0,0,0,0,0,57,0.3,1,0,0,0,3,0,0.1,4170,18.9,3,2003
State,Himachal Pradesh,62.49,126,2,0.8,96,1.5,0.7,6,0.1,0.1,221,3.5,0.4,250,4,0.8,18,0.3,0.1,0,0,0,0,0,0,5,0.1,0.1,0,0,0,7,0.1,0.3,729,11.7,0.5,2003
State,Jammu & Kashmir,107.33,211,2,1.3,615,5.7,4.6,10,0.1,0.2,71,0.7,0.1,875,8.2,2.7,376,3.5,3.1,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0.1,2164,20.2,1.5,2003
State,Jharkhand,280.03,712,2.5,4.5,262,0.9,2,262,0.9,4.2,559,2,1.1,424,1.5,1.3,2,0,0,0,0,0,0,0,0,6,0,0.1,0,0,0,261,0.9,9.7,2488,8.9,1.8,2003
State,Karnataka,543.7,321,0.6,2,244,0.4,1.8,194,0.4,3.1,1704,3.1,3.4,1585,2.9,4.8,84,0.2,0.7,0,0,0,0,0,0,1361,2.5,24.7,0,0,0,341,0.6,12.7,5834,10.7,4.1,2003
State,Kerala,326.2,394,1.2,2.5,102,0.3,0.8,33,0.1,0.5,2930,9,5.8,1947,6,5.9,68,0.2,0.6,0,0,0,0,0,0,159,0.5,2.9,16,0,1.5,4,0,0.1,5653,17.3,4,2003
State,Madhya Pradesh,633.66,2738,4.3,17.3,608,1,4.6,648,1,10.4,2938,4.6,5.8,6848,10.8,20.8,705,1.1,5.7,0,0,0,0,0,0,33,0.1,0.6,0,0,0,29,0,1.1,14547,23,10.3,2003
State,Maharashtra,1003.09,1268,1.3,8,626,0.6,4.7,368,0.4,5.9,5452,5.4,10.8,2661,2.7,8.1,682,0.7,5.5,0,0,0,0,0,0,179,0.2,3.2,8,0,0.8,29,0,1.1,11273,11.2,8,2003
State,Manipur,24.78,18,0.7,0.1,71,2.9,0.5,0,0,0,4,0.2,0,44,1.8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,5.5,0.1,2003
State,Meghalaya,23.9,40,1.7,0.3,10,0.4,0.1,0,0,0,4,0.2,0,13,0.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,69,2.9,0,2003
State,Mizoram,9.23,54,5.9,0.3,2,0.2,0,0,0,0,3,0.3,0,88,9.5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,15.9,0.1,2003
State,Nagaland,20.75,14,0.7,0.1,3,0.1,0,0,0,0,0,0,0,4,0.2,0,2,0.1,0,1,0,2.2,0,0,0,1,0,0,0,0,0,0,0,0,25,1.2,0,2003
State,Orissa,378.21,725,1.9,4.6,373,1,2.8,279,0.7,4.5,1289,3.4,2.5,1669,4.4,5.1,188,0.5,1.5,0,0,0,0,0,0,11,0,0.2,0,0,0,412,1.1,15.4,4946,13.1,3.5,2003
State,Punjab,251.13,380,1.5,2.4,295,1.2,2.2,110,0.4,1.8,987,3.9,1.9,346,1.4,1.1,199,0.8,1.6,0,0,0,0,0,0,54,0.2,1,1,0,0.1,3,0,0.1,2375,9.5,1.7,2003
State,Rajasthan,593.32,1050,1.8,6.6,1750,2.9,13.2,389,0.7,6.3,5733,9.7,11.3,2715,4.6,8.2,33,0.1,0.3,1,0,2.2,0,0,0,51,0.1,0.9,87,0.1,8.3,3,0,0.1,11812,19.9,8.4,2003
State,Sikkim,5.61,10,1.8,0.1,0,0,0,0,0,0,1,0.2,0,25,4.5,0.1,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,37,6.6,0,2003
State,Tamil Nadu,635.87,557,0.9,3.5,632,1,4.8,220,0.3,3.5,1555,2.4,3.1,2022,3.2,6.1,881,1.4,7.1,1,0,2.2,0,0,0,2839,4.5,51.5,6,0,0.6,175,0.3,6.5,8888,14,6.3,2003
State,Tripura,32.94,114,3.5,0.7,29,0.9,0.2,20,0.6,0.3,247,7.5,0.5,127,3.9,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,16.3,0.4,2003
State,Uttar Pradesh,1743.8,911,0.5,5.7,1499,0.9,11.3,1322,0.8,21.3,2626,1.5,5.2,1098,0.6,3.3,4970,2.9,40.3,0,0,0,0,0,0,47,0,0.9,0,0,0,367,0.2,13.7,12840,7.4,9.1,2003
State,Uttaranchal,88.25,107,1.2,0.7,134,1.5,1,93,1.1,1.5,317,3.6,0.6,136,1.5,0.4,98,1.1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,886,10,0.6,2003
State,West Bengal,828.33,1002,1.2,6.3,801,1,6,329,0.4,5.3,4948,6,9.8,1186,1.4,3.6,71,0.1,0.6,1,0,2.2,0,0,0,152,0.2,2.8,1,0,0.1,17,0,0.6,8508,10.3,6.1,2003
Union Territory,A & N Islands,3.73,2,0.5,0,2,0.5,0,0,0,0,7,1.9,0,9,2.4,0,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5.9,0,2003
Union Territory,Chandigarh,9.55,18,1.9,0.1,28,2.9,0.2,1,0.1,0,93,9.7,0.2,11,1.2,0,4,0.4,0,0,0,0,0,0,0,4,0.4,0.1,0,0,0,0,0,0,159,16.6,0.1,2003
Union Territory,D & N Haveli,2.33,1,0.4,0,4,1.7,0,0,0,0,2,0.9,0,4,1.7,0,0,0,0,0,0,0,0,0,0,2,0.9,0,0,0,0,0,0,0,13,5.6,0,2003
Union Territory,Daman & Diu,1.68,5,3,0,1,0.6,0,1,0.6,0,0,0,0,3,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,2003
Union Territory,Delhi,148.28,490,3.3,3.1,797,5.4,6,130,0.9,2.1,1211,8.2,2.4,489,3.3,1.5,105,0.7,0.9,0,0,0,0,0,0,46,0.3,0.8,0,0,0,14,0.1,0.5,3282,22.1,2.3,2003
Union Territory,Lakshadweep,0.63,2,3.2,0,0,0,0,0,0,0,1,1.6,0,1,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6.3,0,2003
